,p_q,AIC
0,"(28, 16)",90.0
1,"(35, 21)",114.0
2,"(0, 13)",153.58444025302018
3,"(2, 11)",154.97719517563064
4,"(7, 12)",155.16834446354966
5,"(0, 14)",155.4007933079751
6,"(1, 13)",155.64435220476213
7,"(5, 14)",155.6856884960829
8,"(7, 10)",155.6879085202952
9,"(8, 19)",155.77461935439925
10,"(8, 18)",156.32800285406577
11,"(8, 10)",156.43541170583396
12,"(2, 12)",156.50729085688923
13,"(3, 11)",156.56520213732117
14,"(8, 12)",156.56697684833654
15,"(6, 14)",157.00590284384435
16,"(9, 19)",157.02411056627017
17,"(3, 10)",157.05226134044074
18,"(1, 14)",157.22122094260314
19,"(0, 15)",157.22368891576735
20,"(5, 19)",157.3023732398793
21,"(4, 19)",157.32223910443548
22,"(4, 10)",157.38925605811747
23,"(14, 4)",157.4697476863035
24,"(2, 13)",157.53387294587736
25,"(4, 17)",157.88105303610274
26,"(9, 20)",157.955179177071
27,"(3, 9)",158.16122719224828
28,"(4, 11)",158.35752423359688
29,"(18, 2)",158.36007786730354
30,"(3, 12)",158.46574427232025
31,"(8, 20)",158.51160255816262
32,"(4, 8)",158.5368279112302
33,"(10, 13)",158.59734341079977
34,"(6, 11)",158.60814386939302
35,"(8, 21)",158.62012261687653
36,"(6, 19)",158.65877783153013
37,"(5, 15)",158.68682356736213
38,"(4, 18)",158.7195922079369
39,"(1, 12)",158.74161869481307
40,"(6, 17)",158.79270457392633
41,"(0, 17)",158.79379520637215
42,"(1, 15)",158.83236734938356
43,"(15, 4)",158.8508822780167
44,"(4, 20)",158.85244067650578
45,"(2, 14)",158.86999971623834
46,"(7, 11)",158.87763702565695
47,"(3, 8)",158.91251512185102
48,"(7, 14)",158.95756839678313
49,"(10, 18)",158.95842871410247
50,"(5, 10)",158.99368606778492
51,"(11, 4)",159.06055889912847
52,"(10, 11)",159.13381782827466
53,"(22, 0)",159.14189913714537
54,"(3, 6)",159.1440810590924
55,"(0, 16)",159.21847101070483
56,"(5, 17)",159.23649747120947
57,"(11, 12)",159.31763422039472
58,"(0, 18)",159.37679916457063
59,"(16, 4)",159.40951588696205
60,"(21, 2)",159.5027832055465
61,"(2, 15)",159.62346405961742
62,"(11, 11)",159.73590586144746
63,"(22, 1)",159.79494834059471
64,"(0, 21)",159.82428328104413
65,"(18, 3)",159.84715143836542
66,"(2, 10)",159.85104941009337
67,"(23, 0)",159.88427441747444
68,"(8, 13)",159.885859194411
69,"(4, 21)",159.9222052453878
70,"(5, 16)",160.0900367830714
71,"(4, 12)",160.09915187525036
